#^
# Automatically generated edge file
#
# format :
# index    x1    y1    x2    y2 
#
 
    1  -1.99313e-01  -1.34099e-01  -2.02033e-01  -6.87154e-02
   25   2.15639e-01  -7.59753e-02   2.15114e-01  -6.75329e-02
   37   1.25964e-01  -6.87058e-02   1.25979e-01  -2.50846e-02
   25   2.15172e-01  -6.02609e-02   2.15242e-01  -5.29998e-02
    1  -2.01858e-01  -5.78244e-02  -2.03388e-01  -8.20212e-03
   26   3.03472e-01  -5.65995e-02   3.03469e-01  -2.99746e-02
    0  -3.02383e-01  -4.69115e-02  -3.04353e-01   8.74936e-03
    2  -1.10565e-01  -3.60628e-02  -1.11884e-01   6.31769e-03
   36   4.07064e-02  -2.75550e-02   4.07064e-02   2.44917e-02
   44   1.30256e-01  -2.39444e-02   1.30826e-01   2.31687e-02
   25   2.13134e-01  -2.14958e-02   2.13463e-01   2.69173e-02
   26   3.03730e-01  -2.02927e-02   3.03322e-01   2.69124e-02
    0  -3.05022e-01   1.84494e-02  -3.06937e-01   8.25866e-02
    1  -2.04582e-01   2.20697e-02  -2.05168e-01   6.32095e-02
    2  -1.12336e-01   2.81301e-02  -1.13354e-01   6.32144e-02
   13   8.24584e-02   5.11202e-02   8.24584e-02   8.13799e-02
   14   2.57937e-01   5.35458e-02   2.57764e-01   7.04912e-02
   13   8.11116e-02   9.10630e-02   8.11116e-02   1.39478e-01
   14   2.54976e-01   9.46372e-02   2.55159e-01   1.29795e-01
   13   8.08772e-02   1.49157e-01   7.94671e-02   1.99962e-01
   14   2.55539e-01   1.54010e-01   2.54905e-01   1.70950e-01
    5  -2.98680e-01   1.28731e-02  -2.08457e-01   1.36660e-02
    6  -2.97344e-01  -6.17388e-02  -2.07082e-01  -6.34866e-02
    4  -2.94630e-01   6.50578e-02  -2.16517e-01   6.75209e-02
    3  -2.94663e-01   7.49975e-02  -2.16541e-01   7.76240e-02
    7  -2.93316e-01  -1.35486e-01  -2.08502e-01  -1.39581e-01
   10  -1.97662e-01   1.41320e-02  -1.18224e-01   2.21145e-02
   11  -1.96309e-01  -6.27083e-02  -1.15556e-01  -4.19126e-02
    9  -1.96350e-01   6.74459e-02  -1.22288e-01   6.72425e-02
    8  -1.94983e-01   7.74800e-02  -1.39764e-01   7.61002e-02
